Product Description	SKU	ASIN	Condition	Supplier	Price	Sales last 30 days (sales)	Sales last 30 days (units)	Total Inventory	Inbound Inventory	Available Inventory	Reserved - FC transfer	Reserved - FC processing	Reserved - Customer Order	Unfulfillable	Fulfilled by	Days of Supply	Instock Alert	Recommended Order Quantity	Recommended Order Date
Hot Focus Scented Nail Art Kit - Fruit Girls Nail Kit Includes 12 Press on Nails, 3 Nail Polishes, 31 Nail Stickers and a Nail File – Non-Toxic Water Based Peel Off Nail Polish	MCSCE19536NA01-FBA	B075RPZZ53	New	unassigned	10.99	0.0	0	48	0	48	0	0	0	0	Amazon				
Macks shut-eye shade premium sleep mask	MCSHU00703NA01-FBA	B00006D2R7	New	unassigned	8.22	17.18	2	70	0	70	0	0	0	0	Amazon	365+			
JOBST Travel Compression Socks, 15-20 mmHg, Knee High, Size 2, Beige	MCJOB01302NA01-FBA	B072KWK2ZC	New	unassigned	19.71	0.0	0	23	0	23	0	0	0	0	Amazon	365+			
MEA06324 - Mead Five Star Notebook	MCFIV63247NA01-FBA	B00THPYLT0	New	unassigned	16.14	0.0	0	24	0	18	6	0	0	0	Amazon	365+			
Nature Made CholestOff, 60 Caplets	STNAT12861NA01	B0013XPOTU	New	unassigned	13.44	466.75	39	0	0	0	0	0	0	0	Amazon	0	out_of_stock	9	11/14/2018
Novex Brazilian Keratin Deep Conditioning Hair Mask (7.4oz) Deep Conditioning Hair Treatment with Vitamin E & Brazilian Keratin (Keratina Brasilera) Repairs & Restores Smoothness to Dry Damaged Hair	MCNOV02558NA01-FBA	B01MTPJVEO	New	unassigned	7.70	0.0	0	24	24	0	0	0	0	0	Amazon				
Boiron Ignatia Amara 30C, Homeopathic Medicine for Stress (Pack of 5)	MCIGN84137NA05-FBA	B001G7QZUA	New	unassigned	38.64	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Dr. Tung's Smart Floss, 30 yds, Natural Cardamom Flavor 1 ea Colors May Vary (Pack of 12)	MCDR 11215NA12-FBA	B002S4JP5C	New	unassigned	36.00	0.0	0	24	0	19	5	0	0	0	Amazon	365+			
Plackers Gentleslide Flosser, 90-Count (PACK OF 3)	MCPLA64516NA03-FBA	B00IXPS0BU	New	unassigned	9.91	69.37	7	0	0	0	0	7	0	0	Amazon	0	out_of_stock	9	11/14/2018
Conair French Twist Perfect Up do Clip Set	MCCON55700NA01-FBA	B004ROOT8Y	New	unassigned	6.20	468.07	60	258	1	257	0	3	2	0	Amazon	325		6	09/25/2019
Scunci Headwrap Visor Assorted, 1 Count	MCSCU01310NA01-FBA	B01M6BA1U5	New	unassigned	8.36	53.38	5	39	0	39	0	0	0	0	Amazon	365+			
Band-Aid Hydro Seal, 6 Large Bandages Per Box (Pack of 2)	MCLAR74010NA02-FBA	B079TJFKNM	New	unassigned	12.77	115.92	9	20	0	20	0	3	0	0	Amazon	85		3	01/28/2019
JOBST Relief 20-30 mmHg Compression Socks, Thigh High with Silicone Band, Black, Small	MCREL42124NA01-FBA	B001O1H88G	New	unassigned	51.83	51.83	1	25	0	25	0	0	0	0	Amazon	365+			
Burt's Bees Res-Q Ointment 0.6 oz(pack of 2)	MCBUR75992NA02-FBA	B000I8VZCG	New	unassigned	18.08	50.56	3	192	0	0	192	0	0	0	Amazon	365+			
Scunci Effortless Beauty Basic Jaw Clips, Assorted Colors, 3-Count	MCSCU62673NA01-FBA	B001G9APMC	New	unassigned	5.24	51.52	8	136	0	136	0	0	0	0	Amazon	365+			
Scunci Elastic Braid Up, Large, 0.3 Ounce	MCSCU80435NA01-FBA	B003EB8QWQ	New	unassigned	7.83	1679.39	205	569	0	569	0	2	0	0	Amazon	83		72	01/27/2019
Bob's Red Mill Whole White Popcorn, 27-ounce (Pack of 4) (Package May Vary)	MCOBS02952NA04-FBA	B004VLV6ES	New	unassigned	22.00	0.0	0	346	0	112	234	2	0	1	Amazon	365+			
Doctor Lip Bang's Lip Freak Lip Balm | All Natural Buzzing Lip Balm - Sin-O-Mint, 0.15 oz	MCLIP22054NA01-FBA	B01GMT01ZG	New	unassigned	6.46	781.01	121	95	0	95	0	5	1	0	Amazon	23		75	11/28/2018
Mack's Slim Fit Soft Foam Earplugs, 10 Pair - Small Ear Plugs for Sleeping, Snoring, Traveling, Concerts, Shooting Sports and Power Tools	MCSLI00918NA01-FBA	B008MDVSWG	New	unassigned	6.24	642.82	103	163	0	163	0	2	1	0	Amazon	31		65	12/06/2018
Everyone 3-in-1 Soap for Every Kid Safe, Gentle and Natural Shampoo, Body Wash, and Bubble Bath, Tropical Coconut Twist	MCEVE20031NA01-FBA	B00ADJEU4K	New	unassigned	12.00	0.0	0	27	0	27	0	0	0	0	Amazon	365+			
Oxygen Tubing Swivel Connector, Swivel Connector 1220, 1 pack	V2NAN01130NA01	B00J5QZDHK	New	unassigned	5.40	4.79	1	1	0	1	0	0	0	0	Amazon	87		0	
Bsn Med/-Beiersdorf/Jobst Armsleeve with Silicone Band, Small Beige, 0.16 Pound	MCJOB13349NA01-FBA	B0012Y0ICS	New	unassigned	48.82	227.4	4	19	0	19	0	0	0	0	Amazon	131		2	03/14/2019
Shea Moisture Kids Extra-Moisturizer Detangler, Coconut & Hibiscus, multi, 8 Ounce	MCSHE05028NA01-FBA	B00DZGA1H8	New	unassigned	10.90	598.2	55	0	0	0	0	0	0	2	Amazon	0	out_of_stock	21	11/14/2018
JOBST Sport Knee High 20-30 mmHg Compression Socks, Black/Cool Black, Large	MCJOB22754NA01-FBA	B071D6S4XH	New	unassigned	65.87	1581.57	24	0	0	0	0	0	0	0	Amazon	0	out_of_stock	9	11/14/2018
Frogg Toggs Chilly Pad Cooling Towel, Hivis Orange, Size 33" x 13"	MCFRO08827NA01-FBA	B002JANZCE	New	unassigned	10.99	0.0	0	31	0	31	0	0	0	0	Amazon	365+			
Hidden Valley Dips Mix, Fiesta Ranch 1.1 Oz Packets (Pack of 6)	MCIXD06704NA06-FBA	B00H0JN68M	New	unassigned	11.49	45.96	4	22	0	22	0	5	1	0	Amazon	90		3	02/03/2019
Powerstep Pinnacle Adult's Insole Blue Men's 11-11.5, Women's 13-13.5	MCPOW00956NA01-FBA	B001334X8S	New	unassigned	27.79	0.0	0	41	0	38	3	4	3	0	Amazon	328		0	
The Doctor's Orapik Traveler Interdental Pick | Assorted Colors | 2-Count per Pack | 1-Pack	MCTWI00018NA01-dt	B000YLC80U	New	unassigned	5.68	137.12	27	318	0	318	0	0	1	0	Amazon	260		11	04/23/2019
EnerPlex Packr Executive Solar Powered Backpack (PREXECGY)	STNAN02018NA01	B00V0ZB8D2	New	unassigned	20.99	715.66	34	283	120	162	1	1	0	0	Amazon	327		8	08/31/2019
Plackers Orthopick Flosser for Braces - 36 count (pack of 2)	MCPLA66518NA02-FBA	B07763SWMH	New	unassigned	7.60	53.44	7	0	0	0	0	22	2	0	Amazon	0	out_of_stock	14	11/14/2018
Caldesene Corn Starch Powder - 5 oz	MCBAB63055NA01-dt	B0015X9VHO	New	unassigned	9.22	645.0	86	143	3	140	0	1	0	0	Amazon	104		9	11/18/2018
Efferdent Guard Crystals Size 24ct Efferdent Guard Crystals Fresh 24ct	MCFRE14629NA01-FBA	B00JGIFFOI	New	unassigned	8.99	162.9	18	75	0	75	0	1	0	0	Amazon	198		5	05/22/2019
DHS Tar Shampoo, 8 Fluid Ounce	300960737085	B000GD037G	New	unassigned	13.34	3951.78	297	335	229	106	0	25	1	2	Amazon	33	low_stock	95	11/14/2018
SheaMoisture Marshmallow Root & Blueberries Kids 2-in-1 Detangling Leave-in Conditioner, 8 fl oz	MCSHE02225NA01-FBA	B0727YR9L8	New	unassigned	11.28	429.02	38	168	27	141	0	0	0	0	Amazon	151		11	04/05/2019
FreeStyle Lite, Blood Glucose Monitoring System - 1 ea	V1FRE70805NA01-FBA	B001946SKM	New	unassigned	22.74	68.47	3	182	0	182	0	0	0	1	Amazon	188		3	05/12/2019
PlusPharma Magnesium Oxide 400mg, 120 Tablets Essential Mineral	STPLU00293NA01	B001UWVIT4	New	unassigned	7.10	190.7	35	89	0	89	0	0	0	0	Amazon	91		14	01/07/2019
Gold Bond Rapid Relief Anti Itch Cream, 2 oz	STGOL50125NA01	B000GGL2JQ	New	unassigned	8.99	282.7	33	61	0	61	0	1	0	0	Amazon	28	low_stock	9	11/14/2018
Williams Mug Shaving Soap, 3 Count	V1WIL23033NA03	B004AI9234	New	unassigned	6.20	1523.32	245	125	125	0	0	3	0	0	Amazon	12	low_stock	102	11/14/2018
Gaviscon Antacid, Extra Strength, Cherry, Chewable Tablets, 100 chewable tablets (Pack of 2)	MCCHE73259NA02-FBA2	B001G7QH44	New	unassigned	23.71	4888.58	205	145	2	143	0	3	3	0	Amazon	20		80	11/25/2018
Neilmed Sinus Rinse Extra Strength Hypertonic 70 Packets	STSIN04009NA01	B000GG5OUY	New	unassigned	15.54	46.62	3	40	0	40	0	2	0	0	Amazon	133		5	03/18/2019
Dentek Wide Brush 16's	MCEAS02582NA01-dt	B00CMPXF8U	New	unassigned	7.92	23.2	4	30	0	30	0	0	0	0	Amazon	112		0	
Frogg Toggs All Sport Rain Suit, Royal Blue Jacket/Black Pants, Size X-Large	MCFRO44276NA01-FBA	B00G5D62MG	New	unassigned	40.75	0.0	0	16	1	0	15	2	6	0	Amazon				
Aquanil Cleanser 16 Fl. Oz., 3 Count	R1AQU72416NA03-FBA	B0064FTVZ0	New	unassigned	42.99	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
OLLY Super Foods Protein Powder, 15g Plant-Based Protein, Super Berry, 20.4oz (15 Servings)	STOLL05794NA01-dt	B07144LCVG	New	unassigned	41.73	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Gaviscon Extra Strength Antacid Chewable Tablets Cherry Flavor 100 TB - Buy Packs and SAVE (Pack of 2)	V1GAV17325NA02	B01LY1IXGU	New	unassigned	24.79	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Sebamed Q10 Age Defense Face Cream, 1.69 Fluid Ounce	STQ1001307NA01	B00AEO3A54	New	unassigned	41.18	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Nature's Truth Absorbable Calcium 1200 mg plus D3 5000 IU per Serving Quick Release Softgels - 120 ct, Pack of 2	MCCAL00672NA02-FBA	B0741H7GQF	New	unassigned	28.37	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Thermotabs Salt Supplement, Buffered, 100 tablets	V1THE86335NA01	B00143XNRE	New	unassigned	8.99	0.0	0	48	48	0	0	0	0	0	Amazon	365+			
Johnsons Baby Head-To-Toe Cleansing Cloths (3 Pack)	MCHEA68699NA03-FBA	B01M09YJID	New	unassigned	26.79	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Maui Babe SPF 30 Sunscreen Lotion 8 Ounces - Water Resistant UVA/UVB Sunblock	MCMAU00142NA01-FBA	B00076XSGK	New	unassigned	13.51	208.58	15	58	0	58	0	0	0	0	Amazon	103		9	02/14/2019
Pilot G2 Gel Ink Refill, 2-Pack for Rolling Ball Pens, Fine Point, Black Ink (77240)	V2NAN72404NA01	B00006IEC6	New	unassigned	7.40	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock	0	
Plackers Micro Mint Dental Floss Picks, 150 Count	MCPLA86513NA01-FBA	B06XD99DDQ	New	unassigned	8.59	0.0	0	72	72	0	0	0	0	0	Amazon				
DenTek Kids Fun Flossers Wild Fruit | 75-Count Floss Picks | 2-Pack	MCKID02100NA01-FBA	B01IADZ9LI	New	unassigned	7.52	0.0	0	36	36	0	0	0	0	0	Amazon				
NasalCrom Nasal Allergy Symptom Controller | 100 Metered Sprays | .44 fl oz	STNAS11031NA01	B001V9QW3I	New	unassigned	13.32	0.0	0	168	168	0	0	0	0	0	Amazon				
REACH Advanced Design Adult Toothbrush, Soft (Pack of 7)	MCREA01035NA01-dt	B07BCPMZX4	New	unassigned	8.97	53.84	6	398	4	394	0	0	0	0	Amazon	365+			
Conair Brush Rollers, Curl & Body 36 pieces	MCCON11468NA01-FBA	B007D4SD0K	New	unassigned	10.20	41.03	4	44	0	44	0	0	0	0	Amazon	338		2	10/07/2019
SULFUR 8 Fresh Moisturizing Hair Lotion 12 oz	MCFRE76101NA01-FBA	B002YU0IOW	New	unassigned	11.19	0.0	0	24	24	0	0	0	0	0	Amazon				
Sulfur8 Conditioner Light Formula, Anti-dandruff 7.25 oz (Pack of 4)	MCLIG37102NA04-FBA	B01IAE0J3A	New	unassigned	53.21	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Maui Babe Browning Lotion 8 Ounces	MCMAU00067NA01-FBA	B000OFB5QO	New	unassigned	12.80	298.35	23	242	0	242	0	1	0	0	Amazon	142		35	03/25/2019
Earth Rated Leash Dispenser for Dog Waste Bags, Includes 15 Unscented Poop Bags	MCBAG00376NA01-FBA	B00R3H8FJG	New	unassigned	6.92	0.0	0	240	240	0	0	0	0	0	Amazon				
Palmer's Coconut Oil Body Oil, 5.1 Ounce	V3PAL32707NA01	B00ZFWJLTY	New	unassigned	8.40	16.8	2	115	30	85	0	0	0	0	Amazon	365+			
Ezy Dose Weekly 4x/Day Push Button Medtime Planner Pill Reminder (2XL)	MCEZY67583NA01-FBA	B001TEWKMM	New	unassigned	12.48	645.09	48	0	0	0	0	0	0	0	Amazon	0	out_of_stock	23	11/14/2018
Neutrogena Hydro Boost Hydrating Lip Shine, Soft Blush 10, 0.10 Ounce	STNEU38441NA01-dt	B01LETUSFC	New	unassigned	9.54	485.7	51	0	0	0	0	0	0	0	Amazon	0	out_of_stock	24	11/14/2018
Conair Styling Essentials Bouffant Shower Cap Assorted Color, 0.8 Ounce	MCCON55281NA01-FBA	B005GMYN00	New	unassigned	5.99	211.13	35	61	0	61	0	0	0	0	Amazon	50		15	12/22/2018
Curad Hold Tite Tubular Stretch Bandage Large Dressing (5 Yards)	8019630524	B001MZKTI0	New	unassigned	6.00	749.92	111	20	20	0	0	0	0	0	Amazon	7	low_stock	33	11/14/2018
Tagamet Acid Reducer, 200mg, 30-count Tablets, 30 Count	V4TAG03637NA01	B00ANL5AUQ	New	unassigned	15.66	0.0	0	0	0	0	0	2	0	0	Amazon	0	out_of_stock	0	
BSN Med/-Beiersdorf/Jobst Jobst Armsleeve with Silicone Band, Large, Beige, 20-30 mmhg, 0.16 Pound	MCJOB13363NA01-FBA	B0012XUO64	New	unassigned	77.42	116.62	2	21	0	21	0	0	0	0	Amazon	117		2	03/01/2019
JOBST Travel Compression Socks, 15-20 mmHg, Knee High, Size 4, Black	MCJOB12991NA01-FBA	B00VS47VJU	New	unassigned	19.46	98.5	5	18	0	18	0	2	0	0	Amazon	101		2	02/13/2019
Plackers Micro Mint Dental Flossers, 90 Count (Pack of 3)	MCPLA96000NA03-FBA	B00ENLEGIE	New	unassigned	11.29	316.48	32	152	0	152	0	1	6	0	Amazon	111		14	02/22/2019
Australian Gold Moist Lock Tan Extender 16 Ounce Pump (473ml) (2 Pack)	MCMOI50433NA02	B004PJ96QQ	New	unassigned	24.37	162.37	7	147	0	141	6	1	0	0	Amazon	147		11	03/31/2019
Aveeno Daily Moisturizing Yogurt Body Cream for Dry Skin with Vanilla Scent & Soothing Oat, 7 oz	MCBOD68231NA03-FBA	B01LTHKWDM	New	unassigned	26.11	261.1	10	0	0	0	0	2	0	0	Amazon	0	out_of_stock	6	11/14/2018
Neutrogena Oil-free Eye Makeup Remover	MCAKE24313NA01-FBA	B004NU5CVU	New	unassigned	9.22	0.0	0	118	0	118	0	1	0	6	Amazon	365+			
Fairy Tales Rosemary Repel Daily Kid Conditioning Spray for Lice Prevention - 8 oz	STROS02018NA01	B000O7JK0A	New	unassigned	11.56	9.99	1	0	0	0	0	0	0	0	Amazon	0	out_of_stock	0	
Scunci Non Slip Curved Bobby Pins, Blonde, 1.6 Ounce	MCCON96801NA01-FBA	B00X8E1W3Y	New	unassigned	5.79	30.55	5	39	0	39	0	1	0	0	Amazon	70		5	01/13/2019
Nexcare Waterproof Clear Bandage, One Sizes, 20 ct Packages (Pack of 4)	V1NEX99525NA04	B002CVV680	New	unassigned	12.45	487.63	39	30	30	0	0	0	0	0	Amazon	15	low_stock	15	11/14/2018
Boiron Silicea 6C (80 Pellet)	MCSIL84084NA01-FBA	B0006NYI2M	New	unassigned	9.92	0.0	0	24	24	0	0	0	0	0	Amazon				
Everyone Bath Soap, Unscented, 32 Ounce	MCEVE20376NA01-FBA	B00CWEB7EU	New	unassigned	13.15	90.5	6	41	0	41	0	6	0	0	Amazon	95		3	02/07/2019
Reach Mint Waxed Floss, 200 Yd Pack of 1	8137009234	B013EK49VI	New	unassigned	7.82	531.76	68	160	0	160	0	6	0	0	Amazon	73		11	01/17/2019
Doctor Lip Bang's Lip Freak Lip Balm | All Natural Buzzing Lip Balm - Atomic Cherry, 0.15 oz	MCLIP22030NA01-FBA	B017KQVLFO	New	unassigned	5.88	279.12	46	186	0	186	0	16	3	0	Amazon	132		14	03/17/2019
Capri Essentials Natural Hand Soap with Essential Oils – Lemon Verbena, 16 oz.	MCCAP20157NA01-FBA	B01I4MVLSA	New	unassigned	9.97	200.08	20	6	0	5	1	2	1	0	Amazon	6	low_stock	11	11/14/2018
HIBICLENS LIQ 8 OZ	0234057508	B00E5R65SA	New	unassigned	10.71	1799.28	168	242	165	77	0	2	0	0	Amazon	54		50	12/01/2018
Diphenhist Oral Solution *Compare to Benadryl*	STALL70854NA01-dt	B00367KSCY	New	unassigned	10.79	235.68	24	43	0	43	0	0	0	0	Amazon	86		6	01/02/2019
Plackers Whitening Right Angle Flossers - 25 Count (Pack of 6)	MCPLA55066NA06-FBA	B00JAZAWFY	New	unassigned	13.50	57.26	3	19	0	19	0	0	0	0	Amazon	280		2	08/12/2019
Boiron Sepia 30C (80 Pellets)	MCSEP77130NA01-FBA	B006H9T4FA	New	unassigned	9.92	0.0	0	24	24	0	0	0	0	0	Amazon				
BOIRON USA - Candida Albicans 30c [Health and Beauty]	MCCAN62131NA01-FBA	B0006PKM0W	New	unassigned	9.92	0.0	0	24	24	0	0	0	0	0	Amazon				
Burt's Bees Lip Shimmer, Champagne (Pack of 4)	MCBUR70999NA04-dt	B002DMK0GM	New	unassigned	17.91	1729.71	94	25	0	2	23	1	0	0	Amazon	7	low_stock	32	11/14/2018
PINXAV DIAPER RASH CREAM 4 OZ	R3PIN13001NA01	B001V9FOPA	New	unassigned	8.56	219.31	28	80	80	0	0	4	1	0	Amazon	40		20	11/17/2018
Right Guard Xtreme Defense 5 Arctic Refresh Antiperspirant 2.6 oz	170000068154	B0083N943U	New	unassigned	6.30	144.9	23	144	0	144	0	7	0	0	Amazon	203		8	03/18/2019
Ezy Dose Pharmadose 4-Times-A-Day Weekly (7-Day) Pill Reminder (Large)	MCEZY13506NA01-FBA	B000XUI54U	New	unassigned	25.97	724.36	25	90	90	0	0	0	3	0	Amazon	119		5	03/04/2019
Con Dressing Comb Size Ea Conair Dressing Comb 1ct	MCCON35045NA01-FBA	B005534KNU	New	unassigned	4.51	13.99	3	33	0	33	0	3	0	0	Amazon	144		3	03/29/2019
Conair Instant Heat Styling Brush, 3/4-inch	MCCON10961NA01-FBA	B00006IV2F	New	unassigned	16.50	1188.0	72	6	0	6	0	1	0	2	Amazon	2	low_stock	23	11/14/2018
Badger Balm SPF 35 Sport Sunscreen Cream- 2.9 oz	634084476002	B00CQ7QN8I	New	unassigned	13.35	1125.9	81	0	0	0	0	1	0	0	Amazon	0	out_of_stock	18	11/14/2018
NeilMed Sinus Rinse All Natural Relief Premixed Refill Packets 100 Each	STNEI02005NA01	B00TU5P33K	New	unassigned	14.80	0.0	0	76	0	76	0	0	0	0	Amazon	365+			
Flintstones Chewable Tablets Plus Immunity Support 60 Tablets (Pack of 2)	STFLI86192NA02	B00E4MNE5S	New	unassigned	17.40	0.0	0	5	0	0	5	3	5	0	Amazon	22	low_stock	2	11/14/2018
Conair Perfect Pony 4 Piece Kit	MCCON55755NA01-FBA	B004RTMO9U	New	unassigned	6.80	384.67	56	223	0	223	0	6	0	0	Amazon	156		12	04/10/2019
Sundown Naturals Folic Acid 400 Mcg, 350 Count	3076804069	B00AZ43QMA	New	unassigned	5.84	77.22	13	105	50	55	0	0	0	0	Amazon	32	low_stock	17	11/14/2018
Neutrogena Healthy Skin Anti-Aging Perfector Spf 20, Retinol Treatment, 30 Light To Neutral, 1 Fl. Oz.	MCNTI37956NA01-FBA	B01BF6UWTQ	New	unassigned	14.80	310.8	21	38	0	38	0	7	0	0	Amazon	43		14	12/18/2018
Mead Single Subject Wireless Notebook, Wide Ruled (05222)	V1MEA05222NA01	B0000AQOH0	New	unassigned	7.50	0.0	0	48	0	48	0	0	0	0	Amazon	365+			
SheaMoisture Manuka Honey & Mafura Oil Intensive Hydration Hand Cream, 3.2 oz	MCSHE31080NA01-FBA	B00OAJUMNC	New	unassigned	8.41	1379.85	164	0	0	0	0	0	0	0	Amazon	0	out_of_stock	81	11/14/2018
Conair Curve Bobby Pins , Brown	MCCON56035NA01-FBA	B008EKLF4S	New	unassigned	4.64	64.9	14	52	0	52	0	8	0	0	Amazon	34		15	12/09/2018
Children’s Tylenol Chewables, Bubblegum, 24 Ct.	V3TYL19245NA01	B01M1JVMOQ	New	unassigned	9.65	0.0	0	97	0	97	0	0	0	0	Amazon	88		0	
Vollrath 47938 8-Quart Economy Mixing Bowl, Stainless Steel	MCIXI01429NA01-FBA	B003A4EVN0	New	unassigned	13.20	12.01	1	484	0	484	0	0	0	0	Amazon	365+			
TYLENOL Cold Max Nighttime Cool Burst Liquid 8 oz	MCNIG69089NA01-FBA	B00BK6PXPU	New	unassigned	10.20	373.7	36	74	0	74	0	6	2	0	Amazon	80		6	01/24/2019
Scunci Effortless Beauty Wide Stretch Basic Headwraps	MCCON99390NA01-FBA	B001QX7QHU	New	unassigned	7.49	217.21	29	62	0	62	0	2	3	0	Amazon	84		11	01/28/2019
Nature's Bounty Milk Thistle 1000 mg, 50 Softgels (3 Pack)	R1NAT01947NA03-FBA	B01E4MY8NE	New	unassigned	28.48	3092.0	108	62	0	62	0	3	0	0	Amazon	16		38	11/21/2018
Cetirizine 10 mg Antihistamine Tablets Generic for Zyrtec 24 Hour Allergy Tablets 100 Tablets	STCET02106NA01	B00P9QKC6C	New	unassigned	7.30	4066.79	557	1326	49	1275	2	13	5	0	Amazon	71		240	12/18/2018
Mead 9X12 Clasp Envelopes, Office Pack 20 Count (76020)	V2NAN60207NA01	B00290GZQC	New	unassigned	5.87	23.92	4	420	0	420	0	22	0	0	Amazon	350		12	09/23/2019
