Product Description	SKU	ASIN	Condition	Supplier	Price	Sales last 30 days (sales)	Sales last 30 days (units)	Total Inventory	Inbound Inventory	Available Inventory	Reserved - FC transfer	Reserved - FC processing	Reserved - Customer Order	Unfulfillable	Fulfilled by	Days of Supply	Instock Alert	Recommended Order Quantity	Recommended Order Date
Right Guard Xtreme Defense 5 Arctic Refresh Antiperspirant 2.6 oz	170000068154	B0083N943U	New	unassigned	6.30	132.3	21	141	0	141	0	3	0	0	Amazon	200		8	03/16/2019
Maui Babe Browning Lotion 8 Ounces	MCMAU00067NA01-FBA	B000OFB5QO	New	unassigned	12.80	298.35	23	243	0	243	0	0	0	0	Amazon	140		38	03/26/2019
Plackers Micro Mint Dental Flossers, 90 Count (Pack of 3)	MCPLA96000NA03-FBA	B00ENLEGIE	New	unassigned	11.29	316.48	32	149	0	149	0	4	0	0	Amazon	109		14	02/23/2019
REACH Advanced Design Adult Toothbrush, Soft (Pack of 7)	MCREA01035NA01-dt	B07BCPMZX4	New	unassigned	8.97	53.84	6	398	4	394	0	0	0	0	Amazon	365+			
Neutrogena Healthy Skin Anti-Aging Perfector Spf 20, Retinol Treatment, 30 Light To Neutral, 1 Fl. Oz.	MCNTI37956NA01-FBA	B01BF6UWTQ	New	unassigned	14.80	310.8	21	38	0	38	0	4	0	0	Amazon	43		14	12/19/2018
Mead 9X12 Clasp Envelopes, Office Pack 20 Count (76020)	V2NAN60207NA01	B00290GZQC	New	unassigned	5.80	125.41	21	368	0	368	0	6	0	0	Amazon	298		11	08/04/2019
Neutrogena Oil-free Eye Makeup Remover	MCAKE24313NA01-FBA	B004NU5CVU	New	unassigned	9.22	0.0	0	114	0	114	0	2	0	6	Amazon	365+			
Everyone Bath Soap, Unscented, 32 Ounce	MCEVE20376NA01-FBA	B00CWEB7EU	New	unassigned	13.15	103.65	7	40	0	40	0	1	0	0	Amazon	93		3	02/08/2019
Con Dressing Comb Size Ea Conair Dressing Comb 1ct	MCCON35045NA01-FBA	B005534KNU	New	unassigned	4.50	27.52	6	32	0	32	0	4	0	0	Amazon	139		3	03/25/2019
Reach Mint Waxed Floss, 200 Yd Pack of 1	8137009234	B013EK49VI	New	unassigned	7.82	531.76	68	158	0	158	0	1	0	0	Amazon	73		11	01/19/2019
Ezy Dose Pharmadose 4-Times-A-Day Weekly (7-Day) Pill Reminder (Large)	MCEZY13506NA01-FBA	B000XUI54U	New	unassigned	25.97	724.36	25	91	90	0	1	0	3	0	Amazon	120		5	03/07/2019
Flintstones Chewable Tablets Plus Immunity Support 60 Tablets (Pack of 2)	STFLI86192NA02	B00E4MNE5S	New	unassigned	17.40	0.0	0	2	0	0	2	1	4	0	Amazon	9	low_stock	2	11/16/2018
Scunci Effortless Beauty Wide Stretch Basic Headwraps	MCCON99390NA01-FBA	B001QX7QHU	New	unassigned	7.49	217.21	29	58	0	58	0	0	1	0	Amazon	81		11	01/27/2019
Conair Curve Bobby Pins , Brown	MCCON56035NA01-FBA	B008EKLF4S	New	unassigned	4.64	129.84	28	39	0	39	0	5	1	0	Amazon	26		20	12/03/2018
JOBST Travel Compression Socks, 15-20 mmHg, Knee High, Size 4, Black	MCJOB12991NA01-FBA	B00VS47VJU	New	unassigned	19.46	98.5	5	15	0	14	1	0	1	0	Amazon	87		2	02/02/2019
Cetirizine 10 mg Antihistamine Tablets Generic for Zyrtec 24 Hour Allergy Tablets 100 Tablets	STCET02106NA01	B00P9QKC6C	New	unassigned	7.30	4015.69	550	1303	49	1252	2	15	2	0	Amazon	70		242	12/19/2018
Plackers Micro Mint Dental Floss Picks, 150 Count	MCPLA86513NA01-FBA	B06XD99DDQ	New	unassigned	8.54	0.0	0	72	0	72	0	0	0	0	Amazon				
Conair Instant Heat Styling Brush, 3/4-inch	MCCON10961NA01-FBA	B00006IV2F	New	unassigned	16.50	1072.5	65	4	0	3	1	0	1	2	Amazon	1	low_stock	23	11/16/2018
Neutrogena Rainbath 8.5 Ounce Shower & Bath Gel (250ml) (2 Pack)	MCNEU61030NA02-dt	B0055L51A8	New	unassigned	16.78	173.66	10	21	0	2	19	2	3	0	Amazon	20		12	11/27/2018
SULFUR 8 Fresh Moisturizing Hair Lotion 12 oz	MCFRE76101NA01-FBA	B002YU0IOW	New	unassigned	10.34	0.0	0	24	0	0	24	0	0	0	Amazon				
Burt's Bees Lip Shimmer, Champagne (Pack of 4)	MCBUR70999NA04-dt	B002DMK0GM	New	unassigned	17.75	1890.72	103	13	0	5	8	0	1	0	Amazon	4	low_stock	33	11/16/2018
Australian Gold Moist Lock Tan Extender 16 Ounce Pump (473ml) (2 Pack)	MCMOI50433NA02	B004PJ96QQ	New	unassigned	24.37	308.59	13	142	0	136	6	1	1	0	Amazon	142		9	03/29/2019
